Column Descriptions,
----,----
temp_date,Date of Temperature Reading
temp_anom,Temperature Anomaly Value
co2_date,Date of CO2 Reading
co2_reading,CO2 Value
ch4_date,Date of CH4 Reading
ch4_reading,CH4 Value
ir_date,Irish Data - Date of Reading
rainfall,Irish Data - Daily Rainfall Value
max_temp,Irish Data - Maximum Daily Temperature Value
min_temp,Irish Data - Mimimun Daily Temperature Value
,
temp_date,temp_anom,co2_date,co2_reading,ch4_date,ch4_reading,ir_date,rainfall,max_temp,min_temp
1810,0.38,1970,326.3093257445175,-768651.7,632.1,1974-08-17,0.0,16.5,12.3
1799,-0.4,1970,326.6491948420144,-768344.1,629.7,1974-08-18,0.0,17.2,9.2
1789,1.05,1970,324.9059936630005,-768129.9,621.6666667,1974-08-19,0.0,18.2,8.2
1778,0.28,1970,324.5570616692709,-767776.6,616.3,1974-08-20,0.5,17.6,8.3
1768,-0.72,1969,324.70605757685405,-767629.8,587.0,1974-08-21,0.0,17.7,12.6
1758,-1.23,1968,325.07717594979096,-767349.6,569.8,1974-08-22,4.1,18.2,12.0
1748,0.51,1968,324.08551736938495,-766740.6,568.0,1974-08-23,3.2,17.5,14.1
1737,-2.44,1968,320.38065078205506,-765671.2,486.4,1974-08-24,3.4,16.2,13.3
1726,0.42,1966,320.4923553617883,-765121.4,519.0,1974-08-25,0.2,16.8,12.8
1716,0.84,1966,322.1747797142201,-764296.1,466.7,1974-08-26,0.5,16.7,11.8
1705,0.71,1965,320.98156635342656,-763935.9,462.0,1974-08-27,3.2,16.9,10.2
1694,-0.02,1965,319.1950596158425,-763555.4,469.6666667,1974-08-28,20.1,14.4,12.7
1683,-0.14,1965,319.8929363220089,-763272.1,500.0,1974-08-29,2.0,18.1,10.2
1672,-1.41,1963,319.12347301713646,-763133.6,535.0,1974-08-30,0.1,19.0,11.7
1660,-0.34,1963,319.06606441856763,-762798.3,517.8,1974-08-31,19.6,17.4,11.9
1648,0.16,1962,318.61106261456985,-762634.7,563.3333333,1974-09-01,20.9,14.5,11.1
1637,-1.22,1962,317.4481354802273,-762193.3,549.3333333,1974-09-02,2.0,15.4,11.3
1626,-0.41,1962,319.1381732232432,-761867.7,556.0,1974-09-03,7.5,15.1,11.8
1614,-0.59,1962,317.5216280215933,-761513.3,538.4,1974-09-04,8.4,16.3,12.4
1603,0.03,1961,316.59261011941027,-760876.8,521.0,1974-09-05,4.8,14.4,10.8
1591,-0.67,1960,318.20658038167187,-760088.6,474.3,1974-09-06,13.6,14.6,11.0
1579,-0.9,1960,313.0933880516286,-759624.4,473.2,1974-09-07,2.0,14.6,11.2
1567,-1.53,1959,311.98389241638387,-758685.7,453.7,1974-09-08,1.3,15.3,11.2
1554,-0.47,1958,316.3340200101121,-758065.2,462.3333333,1974-09-09,0.0,15.5,10.1
1542,-0.12,1958,316.1014028920352,-757250.2,433.6,1974-09-10,33.9,16.4,12.0
1531,0.21,1957,314.57216625352925,-756866.5,421.0,1974-09-11,43.1,14.5,12.4
1519,-1.73,1957,315.2703546298443,-756431.6,485.6666667,1974-09-12,5.2,14.6,12.7
1507,0.16,1957,316.3253801823537,-756193.3,497.6666667,1974-09-13,6.6,14.7,12.2
1495,0.14,1957,314.4370577968855,-756050.2,498.1,1974-09-14,8.2,15.1,9.8
1483,-0.56,1956,315.342073915026,-755557.8,505.3333333,1974-09-15,0.1,17.7,10.8
1471,-0.8,1954,314.7139613439055,-755265.8,479.6666667,1974-09-16,5.5,15.0,9.6
1459,0.42,1953,313.1710570119369,-755045.1,473.3,1974-09-17,0.0,15.7,12.0
1446,-2.36,1953,312.8003637775662,-754835.7,439.4,1974-09-18,0.0,15.4,4.3
1434,-0.85,1953,312.22274083278216,-754370.5,419.0,1974-09-19,0.0,15.2,4.2
1421,-0.36,1952,312.1844627182946,-753665.2,444.5,1974-09-20,2.1,14.0,5.5
1408,1.26,1950,312.0017776102837,-753189.6,429.0,1974-09-21,1.3,13.0,9.7
1395,0.7,1949,313.6602846482332,-752398.9,406.4,1974-09-22,21.5,13.4,8.7
1382,-0.77,1948,309.6939936066409,-752070,409.6666667,1974-09-23,1.5,13.2,7.0
1369,1.4,1947,311.57094999761165,-750617.6,431.3333333,1974-09-24,5.9,13.1,9.3
1356,-0.87,1946,310.36290017732523,-749805.3,400.9,1974-09-25,0.1,13.7,7.9
1343,-0.81,1946,312.8663621464335,-749303.8,428.3333333,1974-09-26,15.0,10.9,7.7
1330,1.46,1945,312.5596867804179,-748653.2,407.6,1974-09-27,1.4,12.9,7.0
1317,0.98,1945,311.9671347125998,-748094.9,399.6666667,1974-09-28,3.4,12.1,5.1
1305,0.27,1945,311.8114965345337,-747369.6,377.5,1974-09-29,0.0,12.1,4.8
1291,-0.96,1944,310.440204448011,-746919.5,408.6666667,1974-09-30,0.0,11.8,4.3
1277,-0.61,1944,311.2775834649954,-746283.3,392.2,1974-10-01,0.0,14.3,4.3
1263,-0.63,1944,310.224309572614,-745766.4,404.6666667,1974-10-02,0.0,12.2,7.3
1249,-0.49,1943,312.36164019507424,-745099.5,402.4,1974-10-03,0.0,13.1,5.4
1234,-0.96,1942,311.878053578341,-744652.7,428.0,1974-10-04,0.1,13.1,7.8
1220,-1.44,1942,312.8437329659678,-744054.6,415.1,1974-10-05,0.6,12.9,7.5
1205,-0.91,1941,312.393938618938,-743522.4,432.3333333,1974-10-06,3.9,13.7,7.8
1191,-0.1,1940,311.80226771747726,-742824.4,421.3,1974-10-07,0.2,12.5,7.5
1177,-0.16,1940,307.7386635857962,-742362.3,421.6666667,1974-10-08,0.0,14.8,8.5
1164,0.32,1939,309.80091502114107,-741756.3,439.1,1974-10-09,0.7,14.0,7.0
1151,0.03,1939,310.9510867188181,-741257.3,422.3333333,1974-10-10,0.0,12.2,4.5
1137,0.56,1939,311.21179432912515,-740552.5,401.5,1974-10-11,0.0,12.5,7.2
1125,0.94,1938,310.4566675193962,-740121.4,409.3333333,1974-10-12,1.2,11.1,3.2
1112,1.17,1938,308.47982780846024,-739472.9,387.7,1974-10-13,0.1,12.3,9.5
1100,1.5,1938,311.94102882822733,-738917.7,414.0,1974-10-14,2.0,13.0,9.5
1088,-1.03,1937,311.52050972739016,-738261.5,410.6,1974-10-15,0.1,12.9,8.1
1074,0.59,1937,312.3293254879136,-737859.8,403.0,1974-10-16,2.5,11.3,8.1
1060,-1.41,1936,307.4076931745866,-737323.4,408.3,1974-10-17,29.1,11.8,6.4
1046,0.92,1935,309.3446868650601,-736868.5,407.3333333,1974-10-18,4.6,12.3,8.5
1032,-1.03,1935,307.25859856593024,-736179.9,423.0,1974-10-19,4.0,12.2,8.2
1018,-0.67,1935,306.3197983876916,-735872.3,507.6666667,1974-10-20,0.5,12.4,7.8
1003,-0.55,1933,309.6306260790445,-735335.5,541.9,1974-10-21,0.0,9.7,7.7
988,-0.75,1933,307.0755443187391,-734972.9,561.0,1974-10-22,0.0,11.7,5.6
974,0.38,1932,305.94402817135216,-734462.6,545.9,1974-10-23,0.0,12.5,6.5
959,-0.4,1932,308.27919921307927,-734106.6,541.0,1974-10-24,0.0,12.0,4.3
945,-0.44,1932,308.25556223436706,-733574.1,517.6,1974-10-25,0.0,13.5,4.2
931,-0.95,1930,305.7409186942765,-733151.1,531.3333333,1974-10-26,0.4,11.8,5.6
917,0.14,1929,305.3808267142061,-732638.3,519.9,1974-10-27,0.0,10.8,7.0
903,0.99,1928,305.78294147245686,-732244.4,519.3333333,1974-10-28,0.0,11.8,7.8
889,0.36,1928,305.70537216677735,-731697.9,529.5,1974-10-29,0.0,9.4,6.0
875,-0.75,1928,305.66786848134046,-731209.4,525.3333333,1974-10-30,0.0,10.2,5.0
860,-0.8,1927,308.01874186181465,-730511,520.5,1974-10-31,1.3,12.7,7.3
846,0.72,1925,304.96915678718324,-730196,537.3333333,1974-11-01,0.7,13.8,9.8
831,-0.54,1924,304.7159146968185,-729491.5,511.7,1974-11-02,2.9,10.7,9.5
817,1.55,1922,306.19862429992156,-729076.6,538.0,1974-11-03,0.1,9.7,6.9
803,-0.9,1922,303.1815383191544,-728293.2,544.6,1974-11-04,0.0,10.1,4.5
789,-0.34,1919,301.8758603769565,-727804,551.0,1974-11-05,11.7,11.5,4.2
775,0.93,1918,304.61320734820134,-726923,530.3333333,1974-11-06,10.9,9.4,6.5
761,1.03,1917,303.85222132002366,-726502.6,559.0,1974-11-07,4.6,11.5,7.2
748,0.88,1915,301.9151507114715,-725757.3,530.8,1974-11-08,9.2,12.2,8.3
734,-0.54,1914,300.7000886560916,-725230.1,540.6666667,1974-11-09,0.2,11.5,10.0
720,0.58,1912,301.29772622272134,-724544.9,504.3,1974-11-10,3.5,11.2,7.8
706,0.37,1911,299.25727749401767,-723918.5,561.0,1974-11-11,7.3,11.3,6.1
691,0.27,1911,297.7268153632511,-722970.2,478.45,1974-11-12,9.6,11.1,5.7
677,-0.16,1910,298.10624698316605,-722423.1,581.0,1974-11-13,4.8,10.8,4.5
663,-0.3,1909,297.86910679162327,-721737.7,559.6,1974-11-14,0.4,10.2,6.7
648,1.23,1908,301.50413540464433,-721021.6,566.3333333,1974-11-15,0.4,10.0,7.9
634,0.22,1905,299.62686294971274,-719971.1,514.7,1974-11-16,0.1,10.3,0.1
619,0.89,1905,297.32821856127947,-719307.7,491.3333333,1974-11-17,0.0,10.1,0.1
605,-0.17,1905,299.0235966178361,-718582.9,401.1,1974-11-18,0.0,10.0,0.0
591,1.55,1903,295.9913578166476,-717691.6,407.6666667,1974-11-19,7.5,10.0,-0.2
577,0.89,1901,295.6106368299745,-716685.4,391.7,1974-11-20,0.2,8.8,8.0
563,-0.17,1900,294.22072160003313,-716013,402.6666667,1974-11-21,0.1,7.5,1.9
549,-0.02,1898,297.0473645165553,-715244.5,398.8,1974-11-22,0.9,10.0,3.7
534,-0.48,1898,295.2814574829282,-714513,434.6666667,1974-11-23,3.9,10.6,4.3
518,-0.7,1893,293.80883068272027,-713700,531.3,1974-11-24,0.4,10.2,7.9
502,-0.45,1893,293.16654166689625,-713164.9,570.0,1974-11-25,2.1,9.9,6.5
486,1.04,1893,295.3164626735822,-712239.3,577.0,1974-11-26,3.1,11.1,7.3
471,-0.93,1892,294.8594308441452,-711787.7,593.0,1974-11-27,0.5,10.7,7.1
455,-0.32,1892,295.17192926023625,-711060.4,596.8,1974-11-28,0.0,9.4,5.5
440,-0.54,1889,290.9175394046256,-710414.8,587.6666667,1974-11-29,2.8,10.5,7.0
424,-0.27,1889,292.3423879392772,-709618.8,573.2,1974-11-30,1.0,11.2,8.6
409,0.9,1887,294.34178746728605,-709001.4,591.0,1974-12-01,2.5,11.8,9.7
393,-0.92,1885,288.1157636999787,-708191.3,556.3,1974-12-02,2.4,10.7,9.6
378,0.04,1884,289.2265988139854,-707808.5,567.7,1974-12-03,0.4,10.7,9.5
361,0.24,1883,289.7624132149648,-707680.6,611.3333333,1974-12-04,0.1,10.2,8.0
345,-1.15,1882,292.46393479402104,-706903.7,520.5,1974-12-05,1.5,10.2,8.2
329,-0.84,1879,287.7707291897673,-706419.7,512.3,1974-12-06,0.1,11.0,8.2
312,0.73,1876,289.3281310647417,-705648.7,504.5,1974-12-07,0.5,10.8,9.8
295,-1.24,1873,291.5581974658393,-705202.7,519.3,1974-12-08,0.6,11.0,9.6
279,0.42,1872,286.6550967370638,-704452.3,610.3333333,1974-12-09,0.9,11.0,5.4
263,0.35,1870,286.32578146070443,-704026.5,610.3333333,1974-12-10,1.7,10.0,4.0
247,-0.81,1869,287.9864944292303,-703387.3,584.6,1974-12-11,2.0,10.7,7.0
230,-0.56,1868,289.53614491302415,-702911.3,602.3333333,1974-12-12,0.0,13.5,5.5
213,-0.11,1867,287.9922513016967,-702258.4,588.0,1974-12-13,0.0,12.9,7.0
195,0.1,1866,285.05229227816864,-701925.6,593.3333333,1974-12-14,0.0,13.1,6.9
179,0.55,1864,286.65415816058197,-701377,582.0,1974-12-15,8.5,13.4,7.1
162,-1.41,1862,285.3533187571561,-700968.2,605.3333333,1974-12-16,0.2,12.9,6.5
145,0.25,1861,287.17456217295097,-700513.3,593.9,1974-12-17,0.0,9.5,5.8
128,-1.04,1858,286.6330756116753,-700101.8,584.3333333,1974-12-18,1.1,10.0,5.5
110,-0.99,1856,283.16210074754474,-699581.2,570.8,1974-12-19,3.8,10.9,8.5
93,0.35,1854,285.56557722684016,-699253.2,594.6666667,1974-12-20,4.7,11.2,8.5
77,-1.06,1853,288.05443747992655,-698715.3,578.4,1974-12-21,2.0,11.3,9.4
61,1.79,1851,285.4658308627274,-698395.5,581.0,1974-12-22,3.7,11.9,9.0
44,0.0,1850,288.7903954001126,-697921.7,565.774,1974-12-23,8.0,11.8,6.5
27,0.01,1850,284.00163402345765,-697606.9,594.0,1974-12-24,6.8,11.6,4.9
11,-0.38,1847,286.839237474432,-697181.7,604.3333333,1974-12-25,0.9,12.6,5.2
-5,0.18,1845,283.6198856894272,-696323.8,588.0,1974-12-26,9.2,12.5,5.9
-22,-0.3,1844,283.1828720355646,-696096.6,604.6666667,1974-12-27,3.1,12.1,4.2
-40,-0.73,1844,283.5311237194569,-695657.8,603.7,1974-12-28,2.8,11.9,8.4
-57,-1.08,1843,281.58148260537183,-694967.5,623.8,1974-12-29,0.1,10.2,8.5
-75,-0.02,1840,283.6545457229947,-694692.8,644.6666667,1974-12-30,0.9,10.5,3.0
-93,-0.92,1836,284.151983964357,-694279,642.9,1974-12-31,0.6,12.0,8.2
-110,1.62,1833,283.82039231033946,-694030.1,647.2,1975-01-01,0.6,9.8,8.0
-128,-0.7,1832,285.0861666968484,-693621.2,631.7,1975-01-02,0.3,10.2,7.4
-145,-0.74,1826,285.90893992625405,-693349.1,652.0,1975-01-03,0.5,9.3,6.8
-162,0.44,1824,281.3603652847592,-692955,635.3,1975-01-04,0.1,10.1,5.2
-179,-0.64,1813,284.43128758236145,-692699.2,638.6666667,1975-01-05,0.2,10.0,8.1
-197,-0.34,1799,282.7995518984052,-692313.4,629.0,1975-01-06,1.8,10.5,8.1
-215,-1.02,1796,280.40443666000317,-692055.3,615.0,1975-01-07,0.0,10.9,8.2
-233,-0.48,1795,282.3047106620081,-691416.1,590.1,1975-01-08,0.0,11.0,9.4
-252,-0.46,1794,281.61711795078935,-691006,601.5,1975-01-09,0.0,10.9,8.7
-269,,1780,273.07371696468044,-690749.9,595.5,1975-01-10,4.9,10.8,8.6
-286,0.86,1779,280.23629818436876,-690352.9,557.4,1975-01-11,12.2,10.8,8.7
-303,0.3,1773,277.8559524780317,-690085.1,570.3333333,1975-01-12,0.4,10.8,6.5
-320,-0.35,1763,276.3961020284933,-689672.1,567.6,1975-01-13,15.4,11.5,4.2
-338,0.17,1762,277.15568662096365,-689416.2,584.3333333,1975-01-14,4.8,11.5,4.7
-356,-2.05,1752,278.00200109884094,-688756.8,561.0,1975-01-15,4.6,9.0,4.5
-376,-1.41,1751,276.4573287163011,-688329.5,548.9,1975-01-16,3.7,7.8,4.8
-396,-0.63,1749,277.6000738939942,-688033.2,555.3333333,1975-01-17,2.4,8.2,4.3
-416,-0.83,1741,276.8090000432731,-687608.8,540.0,1975-01-18,13.7,10.0,1.0
-435,-0.94,1733,278.3109424912346,-687345.7,556.6666667,1975-01-19,14.6,10.1,4.8
-454,-1.97,1723,277.01330979867544,-686898,541.5,1975-01-20,9.3,8.6,3.2
-473,-0.78,1722,278.27011023020174,-686634.6,537.6666667,1975-01-21,20.5,10.5,2.8
-493,0.0,1694,277.35805088594464,-686203.8,527.3,1975-01-22,4.0,10.4,2.9
-512,-0.65,1689,276.3246167739362,-685935.9,529.3,1975-01-23,3.8,8.8,4.1
-530,-0.63,1681,276.6596678045921,-685473.8,537.6,1975-01-24,21.1,10.5,4.8
-549,0.16,1649,278.0152295252318,-684737.2,522.5,1975-01-25,22.0,9.8,4.2
-567,-0.45,1639,276.6872122505445,-684441.3,521.0,1975-01-26,6.8,10.1,4.2
-585,0.92,1628,273.78076231204557,-683975.3,513.7,1975-01-27,14.3,9.8,3.8
-602,-0.11,1609,271.10903046702873,-683749.3,507.6666667,1975-01-28,6.6,9.5,1.4
-620,0.51,1603,275.066577843599,-682911.6,519.6,1975-01-29,2.9,11.5,7.5
-639,-0.77,1590,279.3568610690018,-682435.5,504.3,1975-01-30,8.0,11.3,7.3
-657,0.37,1588,281.10892823134105,-682104.5,498.6666667,1975-01-31,0.1,10.5,4.7
-674,0.85,1573,282.5698274885973,-681617.1,498.1,1975-02-01,0.0,11.5,6.3
-691,0.09,1559,281.82904146165555,-681309.9,494.0,1975-02-02,0.0,10.4,8.8
-709,-0.19,1549,283.5296825674026,-680776.6,543.06,1975-02-03,0.0,10.7,8.6
-728,-0.56,1529,283.94789036843633,-680702.6,523.0,1975-02-04,0.0,8.5,8.2
-746,-0.2,1501,283.1247803916497,-680439.4,505.3333333,1975-02-05,0.0,6.9,6.0
-764,-0.88,1469,280.3125047226672,-679822,485.6,1975-02-06,0.0,8.6,4.5
-782,1.29,1449,282.22658040584827,-679466.7,481.5,1975-02-07,0.2,9.7,4.0
-800,0.89,1428,279.7256958832981,-678896.2,489.5,1975-02-08,1.8,10.3,4.1
-817,0.81,1410,279.6965499485699,-678606.3,465.6666667,1975-02-09,0.4,9.5,7.8
-834,0.91,1390,280.9115788303861,-678160.5,445.7,1975-02-10,3.9,10.7,7.7
-851,0.01,1348,278.3621212274177,-677785.7,459.6666667,1975-02-11,9.0,9.2,8.8
-868,1.32,1330,284.0676432722511,-677246.1,543.9,1975-02-12,1.7,8.9,6.5
-885,1.12,1307,281.5784089788515,-677148.9,500.3333333,1975-02-13,4.3,8.2,4.5
-901,1.12,1278,278.4312489162189,-676882.4,494.0,1975-02-14,0.3,10.1,4.8
-919,0.04,1259,282.199286054067,-676236.1,495.4,1975-02-15,15.4,11.0,6.2
-938,-0.64,1251,282.41311047504325,-675913.5,491.1,1975-02-16,1.1,11.5,6.5
-956,-1.0,1210,283.68828915610504,-675341.7,463.5,1975-02-17,0.2,10.0,8.2
-974,0.57,1199,284.54004420226613,-675022.5,466.0,1975-02-18,0.0,9.7,6.2
-992,0.29,1165,283.9659747066713,-674597.5,454.6,1975-02-19,14.9,9.3,3.2
-1011,-0.34,1146,284.510584449478,-674206.2,536.0,1975-02-20,1.6,7.5,6.1
-1030,-0.91,1115,282.8416314024614,-673589.7,551.48,1975-02-21,0.7,9.7,4.5
-1049,-0.01,1099,283.0944582572788,-673159,554.3333333,1975-02-22,3.8,10.9,6.8
-1068,-0.51,1070,282.8444160166049,-672458.3,564.0,1975-02-23,0.1,10.9,8.6
-1087,0.1,1049,280.9667443357615,-672163.5,562.4,1975-02-24,0.0,11.7,8.2
-1105,0.15,1040,280.9161701585891,-671487.7,512.45,1975-02-25,0.0,9.4,7.6
-1124,-0.03,1019,280.06452973881244,-671112.9,529.0,1975-02-26,0.0,10.0,7.4
-1142,0.63,1017,279.7987034131486,-670381.6,471.1,1975-02-27,0.0,10.2,7.3
-1160,,982,278.7402401551619,-669973.9,462.3333333,1975-02-28,1.4,12.5,8.1
-1178,1.27,957,277.4071684030988,-669275.8,439.3,1975-03-01,1.8,10.4,9.4
-1196,-1.46,914,280.10552589040225,-669049.6,483.0,1975-03-02,4.7,11.3,7.0
-1215,-0.91,875,279.42044060983585,-668964.5,489.3333333,1975-03-03,0.1,12.0,6.8
-1235,-1.3,822,278.62300321449914,-667679,396.3,1975-03-04,1.0,9.5,1.1
-1256,0.62,793,279.72469920818,-666842.2,390.2,1975-03-05,5.0,11.8,5.2
-1276,-0.82,762,279.29371083930937,-666375.8,385.0,1975-03-06,1.4,10.8,7.8
-1296,-1.76,730,279.9902637416671,-665639.5,364.5,1975-03-07,0.2,9.8,6.5
-1317,0.47,701,277.098940914164,-665029.8,374.3333333,1975-03-08,0.0,10.0,3.9
-1336,-0.74,669,278.45496800258206,-664267.5,376.0,1975-03-09,1.6,8.2,2.9
-1356,-1.05,636,279.58805021854124,-662083.7,413.6,1975-03-10,1.4,10.2,2.3
-1375,0.7,614,277.86971612986054,-660574.1,384.3333333,1975-03-11,0.2,8.2,4.8
-1395,-0.71,582,276.19603745957005,-659084.3,401.6666667,1975-03-12,0.0,9.3,4.2
-1415,-1.44,557,278.4608975547629,-657454.2,359.25,1975-03-13,0.0,8.2,5.3
-1435,-0.01,551,276.5590465243607,-655794.8,343.5,1975-03-14,0.0,9.5,3.8
-1455,-0.28,517,276.78951906858396,-654857.4,398.3333333,1975-03-15,1.2,9.8,2.5
-1475,-0.44,488,277.1056915049757,-654141,414.0,1975-03-16,0.0,8.6,0.9
-1495,-0.18,436,279.9999146746923,-652530.6,396.6666667,1975-03-17,0.0,8.0,-0.9
-1514,-0.02,406,279.12520908544417,-650704.9,409.0,1975-03-18,0.0,7.3,2.4
-1533,0.46,384,277.24691789826335,-648727.4,414.4,1975-03-19,0.0,7.1,3.4
-1553,-1.04,357,277.79537780888165,-646941.5,425.6666667,1975-03-20,0.1,10.2,-1.0
-1572,1.35,317,281.692138914424,-644705.6,428.6666667,1975-03-21,17.2,10.2,3.9
-1590,0.15,295,280.9089598541969,-642524.5,428.6666667,1975-03-22,0.0,12.9,5.8
-1609,-0.29,274,280.2444922059889,-641233.7,386.3333333,1975-03-23,0.0,11.9,5.9
-1628,0.16,266,278.31439989271746,-640488.8,369.4,1975-03-24,0.0,11.9,5.6
-1648,-0.67,240,280.24908719030117,-637648.5,373.0,1975-03-25,0.0,12.1,3.6
-1667,0.92,174,277.55589209790946,-634926.6,373.3333333,1975-03-26,7.0,9.6,3.9
-1685,0.77,153,278.0719954240161,-632346.8,360.6666667,1975-03-27,0.0,9.6,0.7
-1703,0.17,136,278.1,-629795,376.4,1975-03-28,0.0,7.9,0.1
-1722,0.62,104,277.5,-627140.1,355.6666667,1975-03-29,0.0,10.0,3.6
-1740,1.03,56,277.4,-625076.3,386.3333333,1975-03-30,0.0,10.4,5.0
-1758,-1.02,30,277.9,-624069.5,474.0,1975-03-31,0.0,13.9,6.0
-1777,1.36,1,276.7,-623521.4,478.3333333,1975-04-01,0.0,12.0,4.9
-1795,1.26,-49,278.0,-622646.1,572.6666667,1975-04-02,0.2,10.8,7.5
-1813,-1.57,-143,276.9,-622066.6,571.7,1975-04-03,0.0,8.0,1.5
-1832,1.07,-284,276.7,-621230.2,618.3333333,1975-04-04,0.0,8.5,3.0
-1852,0.08,-315,276.7,-620626.4,660.6666667,1975-04-05,2.0,9.2,1.2
-1871,0.26,-464,277.6,-619746.2,626.6666667,1975-04-06,0.0,11.0,1.1
-1891,-0.7,-576,277.9,-619097.2,609.3333333,1975-04-07,0.2,10.5,5.2
-1911,-0.92,-678,273.9,-617730,602.3333333,1975-04-08,0.0,7.6,3.3
-1930,0.72,-758,278.9,-616396.4,603.8,1975-04-09,0.6,8.5,2.0
-1950,-0.12,-851,275.3,-615003.4,611.0,1975-04-10,0.0,11.0,4.0
-1969,-0.52,-954,274.7,-613630.2,617.0,1975-04-11,0.2,11.8,5.8
-1989,-0.19,-998,276.3,-612402.6,620.3333333,1975-04-12,0.5,13.1,5.6
-2010,-0.41,-1106,274.6,-611220.1,600.7,1975-04-13,5.8,13.2,5.8
